Name,Category,Score,Review_Num,Link,Addr
고기리막국수,국수,3.9,2739,https://place.map.kakao.com/83147987,"
경기 용인시 수지구 이종무로 157
(지번) 고기동 593-4
"
토향,쌈밥,3.7,822,https://place.map.kakao.com/9563389,"
경기 파주시 탄현면 성동로 19-87
(지번) 탄현면 성동리 671-1
"
초가집,한식,3.2,284,https://place.map.kakao.com/1641760987,"
경기 수원시 권선구 서수원로594번길 260 1층
(지번) 입북동 631-7
"
나인블럭 기흥점,카페,3.3,140,https://place.map.kakao.com/1600730637,"
경기 용인시 기흥구 공세로 34
(지번) 고매동 551-9
"
용암리막국수,국수,4.0,319,https://place.map.kakao.com/11347990,"
경기 양주시 은현면 평화로1889번길 46-12
(지번) 은현면 용암리 256
"
가보정 1관,갈비,3.5,103,https://place.map.kakao.com/8108863,"
경기 수원시 팔달구 장다리로 282
(지번) 인계동 958-1
"
미가훠궈양고기,중식,4.0,1549,https://place.map.kakao.com/12065307,"
경기 용인시 수지구 풍덕천로140번길 15 미성빌딩 1층
(지번) 풍덕천동 723-4
"
심학산도토리국수 본점,국수,3.8,768,https://place.map.kakao.com/21284482,"
경기 파주시 교하로681번길 12 1층
(지번) 동패동 1096-4
"
만수정,장어,3.4,462,https://place.map.kakao.com/9012879,"
경기 용인시 기흥구 신정로 135
(지번) 신갈동 373-1
"
오이삼계탕 부천본점,삼계탕,3.9,206,https://place.map.kakao.com/1680038907,"
경기 부천시 원미구 조마루로 87 2층 202호
(지번) 상동 557-4
"
타짜오리하우스 용인점,한식,3.9,285,https://place.map.kakao.com/1086706450,"
경기 용인시 기흥구 청명산로 97-1 1층
(지번) 하갈동 323-6
"
대궐막국수,국수,4.5,262,https://place.map.kakao.com/16318622,"
경기 안산시 상록구 용신로 282 1층
(지번) 사동 1209-7
"
명가소나무집,오리,3.1,119,https://place.map.kakao.com/8437377,"
경기 남양주시 불암로109번길 13 1층
(지번) 별내동 623-1
"
장어나라 본관,장어,2.6,13,https://place.map.kakao.com/12098068,"
경기 부천시 오정구 까치로6번길 6
(지번) 작동 435-1
"
길림성,중국요리,3.2,189,https://place.map.kakao.com/8208321,"
경기 수원시 장안구 송원로 2 2-3층
(지번) 송죽동 395-13
"
인하찹쌀순대,순대,3.8,304,https://place.map.kakao.com/11169444,"
경기 부천시 소사구 심곡로34번길 43 1층
(지번) 송내동 600
"
백세삼계탕 수원고색점,삼계탕,4.3,405,https://place.map.kakao.com/481731182,"
경기 수원시 권선구 서부로 1533 1-2층
(지번) 고색동 431-1
"
메밀꽃이피었습니다 일산본점,국수,3.3,184,https://place.map.kakao.com/27147207,"
경기 고양시 일산동구 고봉로 749 1층
(지번) 설문동 722-60
"
풍경한우,"육류,고기",2.9,91,https://place.map.kakao.com/39611073,"
경기 용인시 수지구 성복2로 376 1층
(지번) 성복동 627-2
"
차알 판교점,중국요리,2.9,670,https://place.map.kakao.com/1732222759,"
경기 성남시 분당구 동판교로177번길 25 판교아비뉴프랑 2층 214~215호
(지번) 삼평동 740
"
조가네갑오징어 부천점,"해물,생선",3.8,117,https://place.map.kakao.com/27178239,"
경기 부천시 원미구 길주로 125 다승프라자 118~120호
(지번) 상동 538-7
"
능라도 본점,냉면,3.0,405,https://place.map.kakao.com/14747791,"
경기 성남시 분당구 산운로32번길 12 1-3층
(지번) 운중동 883-3
"
빵다방,디저트카페,2.6,268,https://place.map.kakao.com/2054332148,"
경기 고양시 덕양구 흥도로 449
(지번) 성사동 243-18
"
황금장중화요리,중국요리,4.6,85,https://place.map.kakao.com/15991494,"
경기 부천시 소사구 심곡로 50 1층
(지번) 심곡본동 583-6
"
긴자 판교점,일식집,3.4,123,https://place.map.kakao.com/26815946,"
경기 성남시 분당구 판교로 185 신화푸드빌리지 3층 301호
(지번) 판교동 498
"
더맛있는족발보쌈 야탑점,"족발,보쌈",4.6,75,https://place.map.kakao.com/1323063863,"
경기 성남시 분당구 야탑로105번길 12-1 1층
(지번) 야탑동 370-3
"
카페대너리스 북한강지점,카페,3.8,2218,https://place.map.kakao.com/1012506923,"
경기 남양주시 조안면 북한강로 914 1-2층
(지번) 조안면 삼봉리 200-18
"
너른마당,한식,2.8,242,https://place.map.kakao.com/8233363,"
경기 고양시 덕양구 서삼릉길 233-4
(지번) 원당동 198-214
"
강릉동치미막국수 과천본점,국수,3.5,114,https://place.map.kakao.com/10121987,"
경기 과천시 과천대로2길 54 비상교육신사옥 G층
(지번) 갈현동 235-1
"
도나스데이 본점,카페,3.7,2533,https://place.map.kakao.com/978669489,"
경기 수원시 권선구 서수원로 174-2
(지번) 오목천동 221-2
"
덕성원,중국요리,3.4,29,https://place.map.kakao.com/8891178,"
경기 파주시 명동길 43 1층
(지번) 금촌동 323-10
"
장어의꿈,장어,4.2,1297,https://place.map.kakao.com/27219812,"
경기 남양주시 순화궁로 492-6 1층
(지번) 별내동 2184-76
"
훈장골 평택점,"육류,고기",3.7,459,https://place.map.kakao.com/141453992,"
경기 평택시 비전3로 157 2층
(지번) 죽백동 736
"
콩두,두부전문점,4.5,245,https://place.map.kakao.com/1551854371,"
경기 광명시 철산로 15 1층
(지번) 철산동 245-9
"
메밀래,국수,3.2,324,https://place.map.kakao.com/26847754,"
경기 용인시 기흥구 용구대로2145번길 23 1층
(지번) 신갈동 388-146
"
강강술래 늘봄농원점,"육류,고기",3.7,677,https://place.map.kakao.com/10166454,"
경기 고양시 덕양구 호국로 1526-3 1층
(지번) 대자동 75-7
"
북경,중국요리,3.4,393,https://place.map.kakao.com/8545659,"
경기 시흥시 평안상가5길 9 1-2층
(지번) 정왕동 1782-10
"
팔당초계국수 본점,국수,2.7,750,https://place.map.kakao.com/14080211,"
경기 남양주시 와부읍 다산로 43 1층
(지번) 와부읍 팔당리 80-11
"
서머셋 센트럴 분당 더카라,뷔페,4.0,6,https://place.map.kakao.com/635421084,"
경기 성남시 분당구 황새울로311번길 36
(지번) 서현동 261-1
"
청담추어정,추어,4.1,307,https://place.map.kakao.com/1460911840,"
경기 성남시 수정구 여수대로56번길 3 1층
(지번) 시흥동 37
"
고반가든 서수원점,갈비,3.7,389,https://place.map.kakao.com/535712082,"
경기 수원시 권선구 일월천로4번길 22 1층
(지번) 구운동 919-5
"
갤러리카페봄,갤러리카페,3.6,122,https://place.map.kakao.com/10385100,"
경기 과천시 가일로 15-3
(지번) 갈현동 354-3
"
강마을다람쥐 팔당본점,한식,3.3,116,https://place.map.kakao.com/11038579,"
경기 광주시 남종면 태허정로 556 1층
(지번) 남종면 삼성리 299-14
"
고메스퀘어 배곧점,뷔페,3.4,642,https://place.map.kakao.com/1419072859,"
경기 시흥시 서울대학로264번길 26-32 배곧중앙프라자 3층 306~318호
(지번) 배곧동 230
"
김네집,"찌개,전골",3.9,852,https://place.map.kakao.com/27220184,"
경기 평택시 중앙시장로25번길 15 1-2층
(지번) 신장동 322-37
"
설문커피,카페,3.6,157,https://place.map.kakao.com/1440136797,"
경기 고양시 일산동구 고봉로 832 1층
(지번) 설문동 582-52
"
삿뽀로 판교점,일식집,3.4,112,https://place.map.kakao.com/22484458,"
경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 2033호
(지번) 삼평동 741
"
카페숨,카페,3.8,562,https://place.map.kakao.com/200529765,"
경기 포천시 소흘읍 죽엽산로 502-61 1층
(지번) 소흘읍 고모리 735-1
"
여기풍천민물장어,장어,4.0,105,https://place.map.kakao.com/12672970,"
경기 성남시 분당구 대왕판교로 266 1층
(지번) 궁내동 203-8
"
아초원 하남본점,샤브샤브,4.1,353,https://place.map.kakao.com/19976563,"
경기 하남시 감일남로52번길 21-29 2층
(지번) 감일동 388-1
"
스타벅스 더양평DT,커피전문점,3.6,950,https://place.map.kakao.com/1976943632,"
경기 양평군 양평읍 양근로 76
(지번) 양평읍 양근리 501-3
"
카페헤세in헤세의정원,카페,3.3,71,https://place.map.kakao.com/19749954,"
경기 양주시 장흥면 호국로550번길 111
(지번) 장흥면 울대리 419
"
백두수산 거대장어,장어,3.5,134,https://place.map.kakao.com/2001824113,"
경기 평택시 오성면 강변로 409 1-2층
(지번) 오성면 길음리 287-16
"
그남자의이태리식당,이탈리안,4.3,70,https://place.map.kakao.com/2078493034,"
경기 안산시 단원구 고잔1길 40 동원빌딩 6층 601호
(지번) 고잔동 540-1
"
소리소시골밥상,한식,2.7,317,https://place.map.kakao.com/26953677,"
경기 남양주시 진건읍 진건우회로 95-1
(지번) 진건읍 사능리 580-5
"
기와집양대창센타,"곱창,막창",3.8,36,https://place.map.kakao.com/21295354,"
경기 하남시 감일남로 16 삼현PF 1차 1층
(지번) 감일동 370-10
"
돌다리집,"육류,고기",3.3,142,https://place.map.kakao.com/25158682,"
경기 구리시 경춘로248번길 17
(지번) 수택동 531-10
"
크래버대게나라 부천점,"게,대게",4.1,250,https://place.map.kakao.com/460469406,"
경기 부천시 원미구 송내대로265번길 19
(지번) 상동 538-3
"
고메스퀘어 영통점,뷔페,2.6,665,https://place.map.kakao.com/1898136333,"
경기 수원시 영통구 청명남로 40 키넥스빌딩 5층
(지번) 영통동 1011-1
"
꼬꼬오리주물럭,오리,4.2,1453,https://place.map.kakao.com/8241755,"
경기 김포시 양촌읍 흥신로239번길 49 1-2층
(지번) 양촌읍 흥신리 381-7
"
부산가야밀면 안양본점,국수,4.1,285,https://place.map.kakao.com/13092162,"
경기 안양시 만안구 문예로36번길 15 1층
(지번) 안양동 548-7
"
대가원 수원점,"육류,고기",3.8,129,https://place.map.kakao.com/26612580,"
경기 수원시 영통구 중부대로368번길 8-12
(지번) 매탄동 1197-4
"
그집,"해물,생선",3.1,268,https://place.map.kakao.com/10227305,"
경기 김포시 양촌읍 구래로87번길 137
(지번) 양촌읍 구래리 107-3
"
어부의밥상 송내본점,조개,3.8,52,https://place.map.kakao.com/27257671,"
경기 부천시 소사구 송내대로 33 2층
(지번) 송내동 709-5
"
어부,"해물,생선",3.8,117,https://place.map.kakao.com/1625317452,"
경기 화성시 향남읍 행정서로3길 3
(지번) 향남읍 행정리 425-1
"
피제리아다문,피자,3.6,227,https://place.map.kakao.com/17687478,"
경기 용인시 기흥구 죽전로15번길 11-8
(지번) 보정동 1186-10
"
포크너 본점,이탈리안,4.3,2239,https://place.map.kakao.com/589846825,"
경기 안산시 단원구 예술대학로 11 해남빌딩 112호
(지번) 고잔동 535-3
"
양우정 판교점,"육류,고기",4.6,42,https://place.map.kakao.com/2103661220,"
경기 성남시 분당구 대왕판교로606번길 10 상가동 라스트리트 1동 1층 112~114호
(지번) 백현동 531
"
민들레화로,"육류,고기",4.4,550,https://place.map.kakao.com/92369206,"
경기 오산시 외삼미로 7 1층
(지번) 외삼미동 426-4
"
파크프리베,양식,3.4,1224,https://place.map.kakao.com/1580065362,"
경기 의정부시 동일로192번길 28-27
(지번) 장암동 98-23
"
카페8794,카페,3.2,192,https://place.map.kakao.com/1382709005,"
경기 파주시 문산읍 통일로2010번길 36
(지번) 문산읍 운천리 56-90
"
연밀,중국요리,4.0,412,https://place.map.kakao.com/1673108386,"
경기 수원시 팔달구 창룡대로8번길 10 1층
(지번) 팔달로1가 5-4
"
두물머리연핫도그,패스트푸드,3.9,1666,https://place.map.kakao.com/535163769,"
경기 양평군 양서면 두물머리길 103-8 1층
(지번) 양서면 양수리 781
"
낙선재,한정식,3.2,524,https://place.map.kakao.com/21290010,"
경기 광주시 남한산성면 불당길 101
(지번) 남한산성면 불당리 194-1
"
임가네한우마을 본점,"육류,고기",3.2,341,https://place.map.kakao.com/16746514,"
경기 고양시 덕양구 흥도로 443-12
(지번) 성사동 244-2
"
청초수물회섭국 백운호수점,회,2.8,189,https://place.map.kakao.com/634359719,"
경기 의왕시 백운로 411 2-3층
(지번) 학의동 629-4
"
남궁 본점,중국요리,4.1,7,https://place.map.kakao.com/20885425,"
경기 고양시 일산서구 일산로 682 지하1층, 1-4층
(지번) 대화동 2101
"
김제한우,"육류,고기",4.0,445,https://place.map.kakao.com/8826539,"
경기 안산시 단원구 광덕서로 48 양지주차빌딩 1층
(지번) 고잔동 715-3
"
신라갈비,갈비,3.1,224,https://place.map.kakao.com/7975283,"
경기 수원시 영통구 동수원로 538
(지번) 원천동 89-7
"
북경오리구이,오리,3.9,88,https://place.map.kakao.com/11055528,"
경기 수원시 장안구 송원로 63 신성빌딩 1층
(지번) 송죽동 506-8
"
푸에르코 판교점,"육류,고기",2.8,134,https://place.map.kakao.com/1430452993,"
경기 성남시 분당구 분당내곡로 117 그레이츠 판교 2층
(지번) 백현동 535
"
평양면옥 분당점,냉면,3.4,128,https://place.map.kakao.com/16335389,"
경기 성남시 분당구 안골로 27 1층
(지번) 서현동 203-1
"
더티트렁크,양식,2.9,3781,https://place.map.kakao.com/754169606,"
경기 파주시 지목로 114 1층
(지번) 문발동 75-6
"
봄봄,한식뷔페,4.3,215,https://place.map.kakao.com/500800236,"
경기 부천시 원미구 부일로221번길 46 1층
(지번) 상동 453-2
"
군포해물탕,"매운탕,해물탕",3.3,108,https://place.map.kakao.com/8197548,"
경기 수원시 영통구 동수원로513번길 11 1층
(지번) 매탄동 131-41
"
족발팩토리,"족발,보쌈",4.2,256,https://place.map.kakao.com/25933415,"
경기 부천시 원미구 소향로13번길 14-22 금호프라자 110호
(지번) 상동 546-4
"
애월,조개,3.3,502,https://place.map.kakao.com/412754674,"
경기 수원시 팔달구 인계로166번길 16-3 1층
(지번) 인계동 1115-13
"
살롱드팔당,카페,3.1,265,https://place.map.kakao.com/1864863244,"
경기 남양주시 와부읍 경강로926번길 8-1
(지번) 와부읍 팔당리 775
"
육분당,한식,4.0,13,https://place.map.kakao.com/1367038520,"
경기 성남시 분당구 미금일로90번길 32 1층
(지번) 구미동 30
"
정가네능이백숙,삼계탕,4.2,61,https://place.map.kakao.com/19338855,"
경기 성남시 분당구 서현로247번길 9
(지번) 서현동 82-12
"
청초수물회섭국 백운호수점,회,2.8,189,https://place.map.kakao.com/634359719,"
경기 의왕시 백운로 411 2-3층
(지번) 학의동 629-4
"
남궁 본점,중국요리,4.1,7,https://place.map.kakao.com/20885425,"
경기 고양시 일산서구 일산로 682 지하1층, 1-4층
(지번) 대화동 2101
"
김제한우,"육류,고기",4.0,445,https://place.map.kakao.com/8826539,"
경기 안산시 단원구 광덕서로 48 양지주차빌딩 1층
(지번) 고잔동 715-3
"
신라갈비,갈비,3.1,224,https://place.map.kakao.com/7975283,"
경기 수원시 영통구 동수원로 538
(지번) 원천동 89-7
"
북경오리구이,오리,3.9,88,https://place.map.kakao.com/11055528,"
경기 수원시 장안구 송원로 63 신성빌딩 1층
(지번) 송죽동 506-8
"
푸에르코 판교점,"육류,고기",2.8,134,https://place.map.kakao.com/1430452993,"
경기 성남시 분당구 분당내곡로 117 그레이츠 판교 2층
(지번) 백현동 535
"
평양면옥 분당점,냉면,3.4,128,https://place.map.kakao.com/16335389,"
경기 성남시 분당구 안골로 27 1층
(지번) 서현동 203-1
"
더티트렁크,양식,2.9,3781,https://place.map.kakao.com/754169606,"
경기 파주시 지목로 114 1층
(지번) 문발동 75-6
"
봄봄,한식뷔페,4.3,215,https://place.map.kakao.com/500800236,"
경기 부천시 원미구 부일로221번길 46 1층
(지번) 상동 453-2
"
군포해물탕,"매운탕,해물탕",3.3,108,https://place.map.kakao.com/8197548,"
경기 수원시 영통구 동수원로513번길 11 1층
(지번) 매탄동 131-41
"
족발팩토리,"족발,보쌈",4.2,256,https://place.map.kakao.com/25933415,"
경기 부천시 원미구 소향로13번길 14-22 금호프라자 110호
(지번) 상동 546-4
"
애월,조개,3.3,502,https://place.map.kakao.com/412754674,"
경기 수원시 팔달구 인계로166번길 16-3 1층
(지번) 인계동 1115-13
"
살롱드팔당,카페,3.1,265,https://place.map.kakao.com/1864863244,"
경기 남양주시 와부읍 경강로926번길 8-1
(지번) 와부읍 팔당리 775
"
육분당,한식,4.0,13,https://place.map.kakao.com/1367038520,"
경기 성남시 분당구 미금일로90번길 32 1층
(지번) 구미동 30
"
정가네능이백숙,삼계탕,4.2,61,https://place.map.kakao.com/19338855,"
경기 성남시 분당구 서현로247번길 9
(지번) 서현동 82-12
"
신호등장작구이 서오릉본점,닭요리,3.3,636,https://place.map.kakao.com/13584562,"
경기 고양시 덕양구 서오릉로 396-14 1-2층
(지번) 용두동 432-100
"
경원식당 본점,"찌개,전골",4.1,348,https://place.map.kakao.com/10180071,"
경기 의정부시 둔야로49번길 21 1-2층
(지번) 의정부동 483
"
최가돈까스,"돈까스,우동",4.1,115,https://place.map.kakao.com/22614451,"
경기 성남시 분당구 정자일로 210 동양파라곤 1단지상가 지하1층 104호
(지번) 정자동 14-3
"
빕스 프리미어 판교점,패밀리레스토랑,3.4,270,https://place.map.kakao.com/20175651,"
경기 성남시 분당구 동판교로177번길 25 아브뉴프랑 2층
(지번) 삼평동 740
"
산으로간고등어,한식,4.0,996,https://place.map.kakao.com/267054429,"
경기 용인시 수지구 고기로 126 1층
(지번) 동천동 115-3
"
가비가배,카페,3.9,162,https://place.map.kakao.com/877816463,"
경기 포천시 영북면 산정호수로 849-130 1층
(지번) 영북면 산정리 430
"
장심도 한국본점,장어,4.9,234,https://place.map.kakao.com/1383032285,"
경기 시흥시 범안로 288 1층홀 2층룸
(지번) 계수동 95-2
"
행화촌,중국요리,3.5,65,https://place.map.kakao.com/10915533,"
경기 수원시 팔달구 권광로180번길 42-7
(지번) 인계동 1122-1
"
고두리김치생삼겹살,삼겹살,4.4,120,https://place.map.kakao.com/469741292,"
경기 고양시 일산동구 무궁화로 18 남정씨티프라자1 1층 111호
(지번) 장항동 760
"
수수카페,갤러리카페,4.0,583,https://place.map.kakao.com/1651030568,"
경기 양평군 양서면 북한강로89번길 19
(지번) 양서면 양수리 506-27
"
보나리베,"제과,베이커리",3.9,2370,https://place.map.kakao.com/1684848518,"
경기 남양주시 불암산로39번길 9-2 1-2층
(지번) 별내동 719-2
"
고미꽃시래,한식,3.9,1855,https://place.map.kakao.com/27109904,"
경기 광주시 오포로 141-5 1층
(지번) 능평동 145-9
"
화양가옥 수원역점,양식,4.1,363,https://place.map.kakao.com/1348776376,"
경기 수원시 팔달구 향교로 58 1층
(지번) 매산로3가 27-7
"
한돈만,삼겹살,4.4,341,https://place.map.kakao.com/939906917,"
경기 안양시 동안구 흥안대로507번길 11 103호
(지번) 관양동 1499
"
숲속장어촌,장어,3.2,58,https://place.map.kakao.com/8434185,"
경기 광주시 새말길 230
(지번) 신현동 529
"
신호등장작구이 서오릉본점,닭요리,3.3,636,https://place.map.kakao.com/13584562,"
경기 고양시 덕양구 서오릉로 396-14 1-2층
(지번) 용두동 432-100
"
경원식당 본점,"찌개,전골",4.1,348,https://place.map.kakao.com/10180071,"
경기 의정부시 둔야로49번길 21 1-2층
(지번) 의정부동 483
"
최가돈까스,"돈까스,우동",4.1,115,https://place.map.kakao.com/22614451,"
경기 성남시 분당구 정자일로 210 동양파라곤 1단지상가 지하1층 104호
(지번) 정자동 14-3
"
빕스 프리미어 판교점,패밀리레스토랑,3.4,270,https://place.map.kakao.com/20175651,"
경기 성남시 분당구 동판교로177번길 25 아브뉴프랑 2층
(지번) 삼평동 740
"
산으로간고등어,한식,4.0,996,https://place.map.kakao.com/267054429,"
경기 용인시 수지구 고기로 126 1층
(지번) 동천동 115-3
"
가비가배,카페,3.9,162,https://place.map.kakao.com/877816463,"
경기 포천시 영북면 산정호수로 849-130 1층
(지번) 영북면 산정리 430
"
장심도 한국본점,장어,4.9,234,https://place.map.kakao.com/1383032285,"
경기 시흥시 범안로 288 1층홀 2층룸
(지번) 계수동 95-2
"
행화촌,중국요리,3.5,65,https://place.map.kakao.com/10915533,"
경기 수원시 팔달구 권광로180번길 42-7
(지번) 인계동 1122-1
"
고두리김치생삼겹살,삼겹살,4.4,120,https://place.map.kakao.com/469741292,"
경기 고양시 일산동구 무궁화로 18 남정씨티프라자1 1층 111호
(지번) 장항동 760
"
수수카페,갤러리카페,4.0,583,https://place.map.kakao.com/1651030568,"
경기 양평군 양서면 북한강로89번길 19
(지번) 양서면 양수리 506-27
"
보나리베,"제과,베이커리",3.9,2370,https://place.map.kakao.com/1684848518,"
경기 남양주시 불암산로39번길 9-2 1-2층
(지번) 별내동 719-2
"
고미꽃시래,한식,3.9,1855,https://place.map.kakao.com/27109904,"
경기 광주시 오포로 141-5 1층
(지번) 능평동 145-9
"
화양가옥 수원역점,양식,4.1,363,https://place.map.kakao.com/1348776376,"
경기 수원시 팔달구 향교로 58 1층
(지번) 매산로3가 27-7
"
한돈만,삼겹살,4.4,341,https://place.map.kakao.com/939906917,"
경기 안양시 동안구 흥안대로507번길 11 103호
(지번) 관양동 1499
"
숲속장어촌,장어,3.2,58,https://place.map.kakao.com/8434185,"
경기 광주시 새말길 230
(지번) 신현동 529
"
스시하마,"초밥,롤",4.5,44,https://place.map.kakao.com/24987932,"
경기 부천시 원미구 부흥로307번길 23 태정빌딩 101호
(지번) 중동 1123-4
"
제주은갈치 부천1호점,"해물,생선",4.5,21,https://place.map.kakao.com/16917003,"
경기 부천시 원미구 석천로 174 1층
(지번) 중동 1159-8
"
건강밥상심마니 하남점,한식,3.3,1577,https://place.map.kakao.com/260098451,"
경기 하남시 아리수로 570 효성해링턴타워더퍼스트 102동 상가3층 3017,3018호
(지번) 망월동 1081
"
한강삼계탕,삼계탕,4.4,174,https://place.map.kakao.com/26792784,"
경기 김포시 김포한강11로 438 1-2층
(지번) 운양동 1264-1
"
돌담집,닭요리,3.7,36,https://place.map.kakao.com/19679146,"
경기 용인시 수지구 이종무로49번길 5
(지번) 고기동 243-10
"
풍동562카페,카페,4.0,215,https://place.map.kakao.com/521668973,"
경기 고양시 일산동구 애니골길 18-13 2층
(지번) 풍동 562-8
"
선바위메밀장터 본점,한식,3.8,338,https://place.map.kakao.com/305398531,"
경기 과천시 뒷골로 5-7
(지번) 과천동 449-5
"
별난버섯집,한식,3.9,261,https://place.map.kakao.com/25049486,"
경기 하남시 초광로 74 2층
(지번) 광암동 94-1
"
청운누룽지백숙 2호점,닭요리,3.8,101,https://place.map.kakao.com/839479482,"
경기 의왕시 뒷골길 19 1,2층
(지번) 내손동 15-11
"
상록회관 연탄구이 중앙점,"육류,고기",4.5,470,https://place.map.kakao.com/57430424,"
경기 안산시 단원구 안산천서로 9 우진빌딩 1층
(지번) 고잔동 542-2
"
장수촌,삼계탕,2.6,200,https://place.map.kakao.com/9367368,"
경기 용인시 수지구 성복2로 412
(지번) 성복동 641-1
"
의천각,중국요리,4.3,286,https://place.map.kakao.com/24165658,"
경기 성남시 수정구 산성대로215번길 10-18 2층
(지번) 신흥동 6907
"
전주식당,한식,4.1,101,https://place.map.kakao.com/11164989,"
경기 의정부시 청사로47번길 15 골드피아빌딩 2층 203호
(지번) 금오동 472-1
"
석산정,"육류,고기",3.8,344,https://place.map.kakao.com/9108210,"
경기 수원시 권선구 정조로388번길 7-7
(지번) 세류동 1146-11
"
내추럴가든529,카페,3.2,89,https://place.map.kakao.com/2098556618,"
경기 양평군 서종면 내수입길 108-8
(지번) 서종면 수입리 529
"
오랑주리,카페,3.1,112,https://place.map.kakao.com/1979843999,"
경기 양주시 백석읍 기산로 423-19 1-2층
(지번) 백석읍 기산리 414-1
"
카페 도안,카페,4.3,357,https://place.map.kakao.com/1574833588,"
경기 수원시 팔달구 효원로307번길 61 3층
(지번) 인계동 1118-7
"
초원샤브샤브훠궈무한리필 부천본점,샤브샤브,4.7,6,https://place.map.kakao.com/1543179473,"
경기 부천시 원미구 부일로483번길 31 1층
(지번) 심곡동 164-9
"
쌈도둑,쌈밥,2.8,223,https://place.map.kakao.com/10608809,"
경기 안양시 만안구 삼막로 67
(지번) 석수동 54
"
레드브릭커피하우스,커피전문점,4.2,180,https://place.map.kakao.com/324805118,"
경기 수원시 팔달구 화서문로31번길 9-8 1~2층
(지번) 장안동 110-2
"
콤비식당,갈비,4.3,3774,https://place.map.kakao.com/1974476996,"
경기 남양주시 진접읍 금강로 1580
(지번) 진접읍 장현리 45-14
"
치에스타,양식,5.0,42,https://place.map.kakao.com/1605433750,"
경기 용인시 기흥구 죽전로15번길 12-12 1층
(지번) 보정동 1189-5
"
오늘손칼국수&찜,칼국수,3.5,34,https://place.map.kakao.com/20795147,"
경기 성남시 수정구 시민로 152 1층
(지번) 신흥동 3774
"
호랑이굴 범계본점,"찌개,전골",3.7,561,https://place.map.kakao.com/1885916996,"
경기 안양시 동안구 시민대로 214 다운타운빌딩 1층 109호
(지번) 호계동 1043-1
"
양평한우마을,"육류,고기",3.4,76,https://place.map.kakao.com/20238990,"
경기 양평군 강하면 강남로 306
(지번) 강하면 전수리 567-2
"
송원,중식,3.8,98,https://place.map.kakao.com/732239685,"
경기 파주시 경의로1004번길 21 유미어스3차 101~103호
(지번) 야당동 1044-1
"
덕소숯불고기 본점,"불고기,두루치기",3.5,405,https://place.map.kakao.com/9786815,"
경기 남양주시 와부읍 수레로 213 1층
(지번) 와부읍 월문리 1122-4
"
고자리냉면 본점,냉면,3.0,358,https://place.map.kakao.com/176214584,"
경기 고양시 덕양구 호국로 915-45
(지번) 성사동 624-5
"
원두막,닭요리,3.2,202,https://place.map.kakao.com/12437799,"
경기 파주시 법원읍 애룡길 194
(지번) 법원읍 삼방리 515-31
"
다이닝원 부천점,뷔페,3.5,205,https://place.map.kakao.com/306160795,"
경기 부천시 원미구 길주로 105 드림모아 5층 501~502,551~569 호
(지번) 상동 535-5
"
